page_type,session_time_all,session_time_high_0
listing_page,106.12611405175534,492.545943676019
order_page,112.97784131522516,346.6140350877193
product_page,109.50158585391087,382.3745929887106
search_listing_page,282.35413396127683,459.7050053248136
