page_type,one_page_session,all_session,bounce_rate
listing_page,138601.0,176832.0,0.7838004433586682
order_page,943.0,1399.0,0.6740528949249464
product_page,104794.0,146924.0,0.7132531104516621
search_listing_page,5896.0,15288.0,0.38566195709052853
